,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
114,115,           Mashrafe Mortaza KKR   ,2,1,1,1,2*,0,2,100,0,0,0,0,2009
115,116,           Mohammad Ashraful MI   ,2,1,1,0,2,2,10,20,0,0,0,0,2009
116,117,           Thilan Thushara CSK   ,2,2,2,1,1*,2,7,28.57,0,0,0,0,2009
117,118,           Ashok Dinda KKR   ,2,9,2,0,2,1,3,66.66,0,0,0,0,2009
118,119,           Taruwar Kohli PBKS   ,1,2,2,1,1,1,4,25,0,0,0,0,2009
119,120,           Pankaj Singh RCB   ,1,3,2,1,1*,1,2,50,0,0,0,0,2009
120,121,           Amit Singh RR   ,1,5,2,1,1*,1,3,33.33,0,0,0,0,2009
121,122,           Shoaib Ahmed DEC   ,1,7,3,1,1*,0.5,6,16.66,0,0,0,0,2009
122,123,           Pragyan Ojha DEC   ,1,15,4,1,1,0.33,7,14.28,0,0,0,0,2009
123,124,           Luke Ronchi MI   ,0,1,1,0,0*,0,2,0,0,0,0,0,2009
124,125,           Tanmay Srivastava PBKS   ,0,2,1,1,0*,0,1,0,0,0,0,0,2009
125,126,           Chetanya Nanda MI   ,0,3,1,0,0*,0,1,0,0,0,0,0,2009
126,127,           Dale Steyn RCB   ,0,3,2,1,0*,0,3,0,0,0,0,0,2009
127,128,           Ajantha Mendis KKR   ,0,4,1,0,0*,0,1,0,0,0,0,0,2009
128,129,           KP Appanna RCB   ,0,5,1,1,0*,0,1,0,0,0,0,0,2009
129,130,           Lasith Malinga MI   ,0,13,3,1,0*,0,1,0,0,0,0,0,2009
