,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
127,128,           Lasith Malinga MI   ,9,17,6,2,7,2.25,18,50,0,0,1,0,2013
128,129,           Marlon Samuels PWI   ,8,2,2,0,5,4,18,44.44,0,0,1,0,2013
129,130,           Iqbal Abdulla KKR   ,8,5,2,2,6*,0,14,57.14,0,0,0,0,2013
130,131,           Udit Birla PWI   ,7,2,1,0,7,7,14,50,0,0,1,0,2013
131,132,           Siddarth Kaul DC   ,7,6,2,2,7*,0,9,77.77,0,0,0,0,2013
132,133,           Brendon McCullum KKR   ,6,1,1,0,6,6,7,85.71,0,0,1,0,2013
133,134,           Paul Valthaty PBKS   ,6,1,1,0,6,6,17,35.29,0,0,0,0,2013
134,135,           Dan Christian RCB   ,6,2,2,0,4,3,15,40,0,0,0,0,2013
135,136,           Quinton de Kock SRH   ,6,3,3,0,4,2,15,40,0,0,1,0,2013
136,137,           Dimitri Mascarenhas PBKS   ,5,1,1,1,5*,0,5,100,0,0,0,0,2013
137,138,           Paras Dogra KKR   ,5,1,1,0,5,5,8,62.5,0,0,0,0,2013
138,139,           Mahesh Rawat PWI   ,5,2,2,1,5,5,11,45.45,0,0,0,0,2013
139,140,           Parveez Rasool PWI   ,5,2,2,1,4*,5,9,55.55,0,0,0,0,2013
140,141,           Ali Murtaza PWI   ,5,3,1,0,5,5,4,125,0,0,1,0,2013
141,142,           Mohammad Shami KKR   ,5,3,1,0,5,5,10,50,0,0,0,0,2013
142,143,           Wayne Parnell PWI   ,5,4,1,0,5,5,7,71.42,0,0,0,0,2013
143,144,           Ben Laughlin CSK   ,4,2,2,1,4*,4,9,44.44,0,0,0,0,2013
144,145,           Pradeep Sangwan KKR   ,4,2,1,1,4*,0,2,200,0,0,1,0,2013
145,146,           Raiphi Gomez PWI   ,4,2,1,1,4*,0,1,400,0,0,1,0,2013
146,147,           Ajit Chandila RR   ,4,8,1,1,4*,0,6,66.66,0,0,0,0,2013
147,148,           Ryan McLaren KKR   ,3,2,2,0,2,1.5,6,50,0,0,0,0,2013
148,149,           Harmeet Singh Bansal PBKS   ,3,3,1,0,3,3,4,75,0,0,0,0,2013
149,150,           Pravin Tambe RR   ,3,3,1,1,3*,0,6,50,0,0,0,0,2013
150,151,           Laxmi Ratan Shukla KKR   ,3,4,2,0,2,1.5,12,25,0,0,0,0,2013
151,152,           Sachin Baby RR   ,3,4,1,0,3,3,7,42.85,0,0,0,0,2013
152,153,           Siddharth Trivedi RR   ,3,17,2,1,3,3,7,42.85,0,0,0,0,2013
153,154,           Abhimanyu Mithun RCB   ,2,1,1,0,2,2,2,100,0,0,0,0,2013
154,155,           Ajantha Mendis PWI   ,2,3,1,0,2,2,4,50,0,0,0,0,2013
155,156,           Ryan Harris PBKS   ,2,3,2,1,2*,2,5,40,0,0,0,0,2013
156,157,           Murali Kartik RCB   ,2,11,2,1,2*,2,3,66.66,0,0,0,0,2013
157,158,           Pragyan Ojha MI   ,2,16,3,2,1*,2,4,50,0,0,0,0,2013
